📌 주봉 신호 종목 현황 (2026-06-14 기준)
시총 높은 순 | 총 337개 종목

🇰🇷 한국 (20개)
       시총  [주간%]  종목명
 65.1조    [+3.5%]  기아  ← 이평선수렴, RSI/MACD
$     3B    [+9.6%]  Griffon Corporation  ← 이평선수렴, RSI/MACD
$     3B   [+11.7%]  Surgery Partners  ← 이평선수렴, RSI/MACD
$     3B    [+3.0%]  Progyny  ← 5일선라이딩, 이평선수렴
$     3B    [+2.9%]  M/I Homes  ← 이평선수렴, RSI/MACD
$     3B    [+5.4%]  ServisFirst Bancshares  ← 이평선수렴, RSI/MACD
$     3B    [+3.6%]  Sotera Health  ← 이평선수렴, RSI/MACD
$     3B    [+3.7%]  Graham Holdings  ← 이평선수렴, RSI/MACD
$     3B    [+3.4%]  Travel + Leisure  ← 이평선수렴, RSI/MACD
$     3B    [+0.2%]  Amicus Therapeutics(52주)  ← 52주신고가, 5일선라이딩
$     3B    [+7.8%]  Cavco Industries  ← 이평선수렴, RSI/MACD
$     3B    [+4.1%]  Ameris Bancorp(52주)  ← 52주신고가, 이평선수렴
$     3B    [+0.1%]  Arcellx(52주)  ← 52주신고가, 5일선라이딩
$     3B    [+7.3%]  Innospec  ← 5일선라이딩, 이평선수렴
$     3B    [+6.5%]  Associated Banc-Corp(52주)  ← 52주신고가, 이평선수렴
$     3B    [+7.5%]  Greif  ← 이평선수렴, RSI/MACD
$     3B    [+0.6%]  Brighthouse Financial  ← 5일선라이딩, 이평선수렴
$     3B    [+2.1%]  Federated Hermes(52주)  ← 52주신고가, 이평선수렴
$     3B    [+9.1%]  Tanger Factory Outlet Centers(역사적)  ← 52주신고가, RSI/MACD
$     3B    [+6.2%]  Atlantic Union Bankshares  ← 이평선수렴, RSI/MACD
$     3B    [+2.8%]  Axos Financial  ← 이평선수렴, RSI/MACD
$     3B    [+5.7%]  McGrath RentCorp  ← 이평선수렴, RSI/MACD
$     3B    [+0.7%]  Dorman Products  ← 이평선수렴, RSI/MACD
$     3B    [-0.2%]  Texas Capital Bancshares  ← 이평선수렴, RSI/MACD
$     3B    [+0.0%]  Avista  ← 이평선수렴, RSI/MACD
$     3B    [+5.8%]  COPT Defense Properties(52주)  ← 52주신고가, RSI/MACD
$     3B    [+7.0%]  Highwoods Properties  ← 5일선라이딩, 이평선수렴
$     3B   [+11.9%]  Grocery Outlet  ← 이평선수렴, RSI/MACD
$     3B   [+12.0%]  Materion(역사적)  ← 52주신고가, 5일선라이딩
$     3B    [+4.3%]  First Interstate BancSystem  ← 이평선수렴, RSI/MACD
$     3B   [+16.8%]  Kohl's  ← 이평선수렴, RSI/MACD
$     3B    [+4.9%]  Green Brick Partners  ← 이평선수렴, RSI/MACD
$     2B    [+6.7%]  Central Garden &amp; Pet  ← 이평선수렴, RSI/MACD
$     2B   [+14.2%]  Corcept Therapeutics  ← 5일선라이딩, 이평선수렴
$     2B    [+6.4%]  Fulton Financial(52주)  ← 52주신고가, 이평선수렴
$     2B    [+4.1%]  ICU Medical  ← 이평선수렴, RSI/MACD
$     2B    [+7.3%]  LGI Homes  ← 이평선수렴, RSI/MACD
$     2B    [+4.1%]  Bank of Hawaii  ← 이평선수렴, RSI/MACD
$     2B    [+3.2%]  Vericel  ← 이평선수렴, RSI/MACD
$     2B    [+4.1%]  Community Bank System  ← 이평선수렴, RSI/MACD
$     2B    [+8.7%]  Laureate Education  ← 이평선수렴, RSI/MACD
$     2B    [+3.8%]  First Advantage  ← 5일선라이딩, 이평선수렴
$     2B    [+4.7%]  Banc of California  ← 이평선수렴, RSI/MACD
$     2B    [+4.5%]  Eastern Bankshares  ← 이평선수렴, RSI/MACD
$     2B    [+4.8%]  Guardant Health(52주)  ← 52주신고가, 이평선수렴
$     2B    [+8.3%]  Privia Health Group  ← 이평선수렴, RSI/MACD
$     2B    [+8.2%]  Cinemark Theatres  ← 이평선수렴, RSI/MACD
$     2B   [+16.3%]  Kymera Therapeutics  ← 이평선수렴, RSI/MACD
$     2B   [+10.6%]  AAR(52주)  ← 52주신고가, 이평선수렴
$     2B    [+4.6%]  Independent Bank Corp (Massachusetts)  ← 컵위드핸들, 이평선수렴
$     2B    [+4.4%]  Standex(52주)  ← 52주신고가, RSI/MACD
$     2B   [+16.6%]  Agilon Health  ← 5일선라이딩, 이평선수렴
$     2B    [+5.9%]  PTC Therapeutics  ← 이평선수렴, RSI/MACD
$     2B    [+4.1%]  Park National Corp  ← 이평선수렴, RSI/MACD
$     2B   [+13.4%]  Brinker International  ← 이평선수렴, RSI/MACD
$     2B    [+4.5%]  TowneBank  ← 컵위드핸들, 이평선수렴
$     2B    [+5.4%]  First Merchants Corporation  ← 이평선수렴, RSI/MACD
$     2B    [+9.6%]  AZZ(52주)  ← 52주신고가, 이평선수렴
$     2B   [+12.4%]  Geo Group  ← 5일선라이딩, 이평선수렴
$     2B    [+2.9%]  Hilltop Holdings  ← 이평선수렴, RSI/MACD
$     2B    [+6.4%]  Seacoast Banking  ← 이평선수렴, RSI/MACD
$     2B    [+3.9%]  BankUnited  ← 이평선수렴, RSI/MACD
$     2B    [+3.6%]  Forestar Group  ← 이평선수렴, RSI/MACD
$     2B    [+2.3%]  NeoGenomics  ← 이평선수렴, RSI/MACD
$     2B    [+1.9%]  Delek Logistics Partners  ← 이평선수렴, RSI/MACD
$     2B   [+33.9%]  Payoneer  ← 이평선수렴, RSI/MACD
$     2B    [+6.0%]  Grosvenor Capital Management  ← 이평선수렴, RSI/MACD
$     2B    [+4.9%]  UFP Technologies  ← 이평선수렴, RSI/MACD
$     2B   [+23.1%]  ACM Research(52주)  ← 52주신고가, 이평선수렴
$     2B   [+13.8%]  The Cheesecake Factory(역사적)  ← 52주신고가, 이평선수렴
$     2B    [+8.1%]  Mercury Systems(52주)  ← 52주신고가, 이평선수렴
$     2B    [+4.3%]  Live Oak Bank  ← 이평선수렴, RSI/MACD
$     2B   [+17.8%]  Amneal Pharmaceuticals(역사적)  ← 52주신고가, 이평선수렴
$     2B    [+7.0%]  Harmony Biosciences  ← 이평선수렴, RSI/MACD
$     2B    [-1.0%]  NexPoint Residential  ← 이평선수렴, RSI/MACD
$     2B    [+4.6%]  InvenTrust Properties(52주)  ← 52주신고가, 거래량폭발
$     2B    [+9.1%]  Ingevity  ← 이평선수렴, RSI/MACD
$     2B    [+6.9%]  WesBanco  ← 거래량폭발, 컵위드핸들
$     2B    [+3.4%]  FB Financial  ← 이평선수렴, RSI/MACD
$     2B    [-0.9%]  Virtus Investment Partners  ← 이평선수렴, RSI/MACD
$     2B    [+4.0%]  Trustmark(52주)  ← 52주신고가, 이평선수렴
$     2B    [+6.0%]  NOW Inc.  ← 이평선수렴, RSI/MACD
$     2B    [+1.1%]  Distribution Solutions Group  ← 이평선수렴, RSI/MACD
$     2B    [-2.9%]  Veracyte  ← 5일선라이딩, 이평선수렴
$     2B    [+6.3%]  World Kinect(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+3.1%]  City Holding Company  ← 컵위드핸들, RSI/MACD
$     1B    [+0.1%]  Veris Residential(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+4.6%]  Enterprise Financial Services Corp(52주)  ← 52주신고가, RSI/MACD
$     1B    [+0.4%]  CSG International(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+8.9%]  Skyward Specialty Insurance Group  ← 이평선수렴, RSI/MACD
$     1B    [+6.8%]  Knowles(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+6.9%]  V2X(역사적)  ← 52주신고가, 5일선라이딩
$     1B    [+5.7%]  Victoria's Secret &amp; Co(52주)  ← 52주신고가, 이평선수렴
$     1B    [+4.2%]  First Bancorp(52주)  ← 52주신고가, 이평선수렴
$     1B    [+8.5%]  Apogee Enterprises  ← 이평선수렴, RSI/MACD
