📌 주봉 신호 종목 현황 (2026-05-31 기준)
시총 높은 순 | 총 261개 종목

🇰🇷 한국 (18개)
       시총  [주간%]  종목명
  26.04.27 / 목표가: 
  한화투자증권
현대모비스 [상반기 자사주 매입 계획 발표]
  26.04.27 / 목표가: 
  DS투자증권

📎 https://finance.naver.com/item/main.naver?code=012330

──────────────────────────────────────────────────
✅ SK(+17.36%)

❗ 52주신고가 | 5일선라이딩
📌 52주신고가

시가총액 : 49.0조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
SK [26년엔 SK에코플랜트를 주목하자]
  26.05.27 / 목표가: 
  SK증권
SK [지분가치는 상승, 할인율은 축소]
  26.05.19 / 목표가: 
  SK증권
SK [반도체 슈퍼사이클에 따른 수혜]
  26.05.18 / 목표가: 
  하나증권

📎 https://finance.naver.com/item/main.naver?code=034730

──────────────────────────────────────────────────
✅ NAVER(+17.29%)

❗ 이평선수렴 | RSI/MACD

시가총액 : 36.7조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
NAVER [전략적 판단 필요]
  26.05.29 / 목표가: 
  키움증권
NAVER [트래픽 감소 우려]
  26.05.22 / 목표가: 
  미래에셋증권
NAVER [탑라인 성장보다 뼈아픈 마진 악화]
  26.05.04 / 목표가: 
  한화투자증권

📎 https://finance.naver.com/item/main.naver?code=035420

──────────────────────────────────────────────────
✅ LG이노텍(+73.99%)

❗ 52주신고가 | 5일선라이딩
📌 역사적신고가

시가총액 : 34.5조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
LG이노텍 [전 사업부의 우상향 방향성]
  26.05.26 / 목표가: 
  하나증권
LG이노텍 [기판으로 그린 미래의 청사진]
  26.05.18 / 목표가: 
  유안타증권
LG이노텍 [FCBGA 낙수효과, SiP 쇼티지: 27년 추정치 상..]
  26.05.13 / 목표가: 
  SK증권

📎 https://finance.naver.com/item/main.naver?code=011070

──────────────────────────────────────────────────
✅ 현대오토에버(+48.01%)

❗ 52주신고가 | 이평선수렴
📌 역사적신고가

시가총액 : 25.5조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
현대오토에버 [단기 노이즈보다 중기 모멘텀에 주목]
  26.05.06 / 목표가: 
  DS투자증권
현대오토에버 [1Q26 Review: 큰 그림은 변함없다]
  26.05.06 / 목표가: 
  교보증권
